px, py, yaw, speed
-9.366271, 8.674809, -3.132645, 3.883297
-9.366271, 8.674809, -3.132645, 3.883297
-9.404628, 8.674623, -3.129760, 3.788197
-9.404628, 8.674623, -3.129760, 3.788197
-9.442035, 8.674479, -3.128048, 3.693097
-9.442035, 8.674479, -3.128048, 3.693097
-9.442035, 8.674479, -3.128048, 3.693097
-9.478490, 8.674323, -3.126762, 3.597997
-9.478490, 8.674323, -3.126762, 3.597997
-9.513994, 8.674182, -3.126200, 3.502897
-9.513994, 8.674182, -3.126200, 3.502897
-9.513994, 8.674182, -3.126200, 3.502897
-9.548547, 8.674014, -3.125753, 3.407797
-9.548547, 8.674014, -3.125753, 3.407797
-9.582990, 8.673834, -3.125906, 3.480982
-9.582990, 8.673834, -3.125906, 3.480982
-9.582990, 8.673834, -3.125906, 3.480982
-9.618134, 8.673610, -3.126337, 3.547905
-9.618134, 8.673610, -3.126337, 3.547905
-9.653926, 8.673370, -3.127142, 3.610574
-9.653926, 8.673370, -3.127142, 3.610574
-9.653926, 8.673370, -3.127142, 3.610574
-9.690317, 8.673102, -3.127978, 3.667809
-9.690317, 8.673102, -3.127978, 3.667809
-9.727248, 8.672836, -3.129035, 3.718542
-9.727248, 8.672836, -3.129035, 3.718542
-9.727248, 8.672836, -3.129035, 3.718542
-9.764669, 8.672556, -3.130011, 3.765881
-9.764669, 8.672556, -3.130011, 3.765881
-9.802539, 8.672289, -3.131147, 3.808404
-9.802539, 8.672289, -3.131147, 3.808404
-9.802539, 8.672289, -3.131147, 3.808404
-9.840814, 8.672018, -3.132155, 3.846833
-9.840814, 8.672018, -3.132155, 3.846833
-9.879453, 8.671771, -3.133307, 3.880966
-9.879453, 8.671771, -3.133307, 3.880966
-9.879453, 8.671771, -3.133307, 3.880966
-9.918411, 8.671527, -3.134312, 3.910972
-9.918411, 8.671527, -3.134312, 3.910972
-9.957660, 8.671315, -3.135463, 3.938883
-9.957660, 8.671315, -3.135463, 3.938883
-9.957660, 8.671315, -3.135463, 3.938883
-9.997162, 8.671113, -3.136460, 3.961498
-9.997162, 8.671113, -3.136460, 3.961498
-10.036882, 8.670949, -3.137611, 3.982637
-10.036882, 8.670949, -3.137611, 3.982637
-10.036882, 8.670949, -3.137611, 3.982637
-10.076790, 8.670799, -3.138608, 3.999027
-10.076790, 8.670799, -3.138608, 3.999027
-10.116838, 8.670691, -3.139771, 4.010676
-10.116838, 8.670691, -3.139771, 4.010676
-10.116838, 8.670691, -3.139771, 4.010676
-10.157006, 8.670602, -3.140779, 4.022842
-10.157006, 8.670602, -3.140779, 4.022842
-10.197266, 8.670558, 3.141228, 4.029282
-10.197266, 8.670558, 3.141228, 4.029282
-10.197266, 8.670558, 3.141228, 4.029282
-10.237586, 8.670536, 3.140203, 4.034600
-10.237586, 8.670536, 3.140203, 4.034600
-10.277948, 8.670563, 3.139002, 4.037830
-10.277948, 8.670563, 3.139002, 4.037830
-10.277948, 8.670563, 3.139002, 4.037830
-10.318297, 8.670613, 3.137954, 4.032065
-10.318297, 8.670613, 3.137954, 4.032065
-10.358607, 8.670715, 3.136716, 4.029831
-10.358607, 8.670715, 3.136716, 4.029831
-10.358607, 8.670715, 3.136716, 4.029831
-10.398819, 8.670842, 3.135629, 4.012724
-10.398819, 8.670842, 3.135629, 4.012724
-10.438847, 8.671023, 3.134324, 3.992847
-10.438847, 8.671023, 3.134324, 3.992847
-10.438847, 8.671023, 3.134324, 3.992847
-10.478658, 8.671229, 3.133174, 3.969622
-10.478658, 8.671229, 3.133174, 3.969622
-10.518190, 8.671490, 3.131796, 3.936821
-10.518190, 8.671490, 3.131796, 3.936821
-10.518190, 8.671490, 3.131796, 3.936821
-10.557360, 8.671777, 3.130571, 3.897405
-10.557360, 8.671777, 3.130571, 3.897405
-10.596122, 8.672119, 3.129103, 3.855410
-10.596122, 8.672119, 3.129103, 3.855410
-10.596122, 8.672119, 3.129103, 3.855410
-10.634494, 8.672457, 3.128173, 3.819180
-10.634494, 8.672457, 3.128173, 3.819180
-10.672445, 8.672738, 3.128311, 3.771334
-10.672445, 8.672738, 3.128311, 3.771334
-10.672445, 8.672738, 3.128311, 3.771334
-10.709977, 8.673001, 3.128890, 3.735137
-10.709977, 8.673001, 3.128890, 3.735137
-10.747125, 8.673217, 3.130141, 3.694602
-10.747125, 8.673217, 3.130141, 3.694602
-10.747125, 8.673217, 3.130141, 3.694602
-10.783795, 8.673416, 3.131551, 3.639521
-10.783795, 8.673416, 3.131551, 3.639521
-10.819982, 8.673564, 3.133437, 3.597860
-10.819982, 8.673564, 3.133437, 3.597860
-10.819982, 8.673564, 3.133437, 3.597860
-10.855725, 8.673690, 3.135314, 3.550947
-10.855725, 8.673690, 3.135314, 3.550947
-10.890968, 8.673758, 3.137552, 3.497608
-10.890968, 8.673758, 3.137552, 3.497608
-10.890968, 8.673758, 3.137552, 3.497608
-10.925740, 8.673798, 3.139689, 3.456862
-10.925740, 8.673798, 3.139689, 3.456862
-10.960039, 8.673774, -3.141074, 3.402774
-10.960039, 8.673774, -3.141074, 3.402774
-10.960039, 8.673774, -3.141074, 3.402774
-10.993874, 8.673713, -3.138808, 3.364375
-10.993874, 8.673713, -3.138808, 3.364375
-11.027301, 8.673582, -3.136320, 3.320961
-11.027301, 8.673582, -3.136320, 3.320961
-11.027301, 8.673582, -3.136320, 3.320961
-11.060256, 8.673409, -3.134006, 3.270275
-11.060256, 8.673409, -3.134006, 3.270275
-11.092772, 8.673162, -3.131484, 3.232943
-11.092772, 8.673162, -3.131484, 3.232943
-11.092772, 8.673162, -3.131484, 3.232943
-11.124876, 8.672899, -3.129542, 3.188122
-11.124876, 8.672899, -3.129542, 3.188122
-11.156566, 8.672670, -3.128647, 3.150050
-11.156566, 8.672670, -3.128647, 3.150050
-11.156566, 8.672670, -3.128647, 3.150050
-11.187878, 8.672432, -3.128149, 3.112493
-11.187878, 8.672432, -3.128149, 3.112493
-11.218787, 8.672214, -3.128266, 3.069506
-11.218787, 8.672214, -3.128266, 3.069506
-11.218787, 8.672214, -3.128266, 3.069506
-11.249322, 8.671983, -3.128475, 3.037593
-11.249322, 8.671983, -3.128475, 3.037593
-11.279491, 8.671771, -3.129087, 2.996493
-11.279491, 8.671771, -3.129087, 2.996493
-11.279491, 8.671771, -3.129087, 2.996493
-11.309242, 8.671548, -3.129639, 2.953828
-11.309242, 8.671548, -3.129639, 2.953828
-11.338536, 8.671350, -3.130494, 2.905212
-11.338536, 8.671350, -3.130494, 2.905212
-11.338536, 8.671350, -3.130494, 2.905212
-11.367370, 8.671146, -3.131214, 2.861682
