px, py, yaw, speed
-9.130744, 8.684851, -3.126250, 4.358796
-9.173854, 8.684425, -3.123862, 4.263696
-9.173854, 8.684425, -3.123862, 4.263696
-9.216013, 8.683986, -3.121829, 4.168596
-9.216013, 8.683986, -3.121829, 4.168596
-9.216013, 8.683986, -3.121829, 4.168596
-9.257222, 8.683561, -3.120472, 4.073496
-9.257222, 8.683561, -3.120472, 4.073496
-9.297478, 8.683104, -3.119198, 3.978396
-9.297478, 8.683104, -3.119198, 3.978396
-9.297478, 8.683104, -3.119198, 3.978396
-9.336784, 8.682649, -3.118408, 3.883296
-9.336784, 8.682649, -3.118408, 3.883296
-9.375139, 8.682156, -3.117564, 3.788196
-9.375139, 8.682156, -3.117564, 3.788196
-9.375139, 8.682156, -3.117564, 3.788196
-9.412542, 8.681664, -3.117109, 3.693096
-9.412542, 8.681664, -3.117109, 3.693096
-9.448993, 8.681135, -3.116534, 3.597996
-9.448993, 8.681135, -3.116534, 3.597996
-9.448993, 8.681135, -3.116534, 3.597996
-9.484494, 8.680610, -3.116302, 3.502896
-9.484494, 8.680610, -3.116302, 3.502896
-9.519043, 8.680052, -3.115915, 3.407796
-9.519043, 8.680052, -3.115915, 3.407796
-9.519043, 8.680052, -3.115915, 3.407796
-9.552641, 8.679503, -3.115847, 3.312696
-9.552641, 8.679503, -3.115847, 3.312696
-9.586151, 8.678909, -3.115810, 3.390383
-9.586151, 8.678909, -3.115810, 3.390383
-9.586151, 8.678909, -3.115810, 3.390383
-9.620415, 8.678280, -3.116161, 3.463578
-9.620415, 8.678280, -3.116161, 3.463578
-9.655370, 8.677606, -3.116559, 3.528747
-9.655370, 8.677606, -3.116559, 3.528747
-9.655370, 8.677606, -3.116559, 3.528747
-9.690956, 8.676914, -3.117170, 3.589828
-9.690956, 8.676914, -3.117170, 3.589828
-9.727118, 8.676190, -3.117701, 3.643896
-9.727118, 8.676190, -3.117701, 3.643896
-9.727118, 8.676190, -3.117701, 3.643896
-9.763795, 8.675461, -3.118382, 3.692979
-9.763795, 8.675461, -3.118382, 3.692979
-9.800951, 8.674709, -3.118931, 3.739841
-9.800951, 8.674709, -3.118931, 3.739841
-9.800951, 8.674709, -3.118931, 3.739841
-9.838553, 8.673960, -3.119609, 3.782096
-9.838553, 8.673960, -3.119609, 3.782096
-9.876551, 8.673196, -3.120136, 3.818880
-9.876551, 8.673196, -3.120136, 3.818880
-9.876551, 8.673196, -3.120136, 3.818880
-9.914894, 8.672443, -3.120795, 3.851270
-9.914894, 8.672443, -3.120795, 3.851270
-9.953553, 8.671681, -3.121297, 3.882018
-9.992512, 8.670934, -3.121934, 3.911304
-10.031742, 8.670182, -3.122414, 3.935970
-10.071190, 8.669451, -3.123042, 3.954998
-10.071190, 8.669451, -3.123042, 3.954998
-10.110811, 8.668718, -3.123511, 3.970644
